ORDER_ID,ORDER_DATE,AGE,CATEGORY,ITEM_NAME,PRICE
10077,2024-01-05,30대,의류,자켓,120000
10078,2024-01-06,40대,식품,커피,5000
10079,2024-01-07,20대,전자기기,스마트폰,800000
10080,2024-01-08,30대,의류,자켓,120000
10081,2024-01-09,40대,식품,커피,5000
10082,2024-01-01,20대,전자기기,스마트폰,800000
10083,2024-01-02,30대,의류,자켓,120000
10084,2024-01-03,40대,식품,커피,5000
10085,2024-01-04,20대,전자기기,스마트폰,800000
10086,2024-01-05,30대,의류,자켓,120000
10087,2024-01-06,40대,식품,커피,5000
10088,2024-01-07,20대,전자기기,스마트폰,800000
10089,2024-01-08,30대,의류,자켓,120000
10090,2024-01-09,40대,식품,커피,5000
10091,2024-01-01,20대,전자기기,스마트폰,800000
10092,2024-01-02,30대,의류,자켓,120000
10093,2024-01-03,40대,식품,커피,5000
10094,2024-01-04,20대,전자기기,스마트폰,800000
10095,2024-01-05,30대,의류,자켓,120000
10096,2024-01-06,40대,식품,커피,5000
10097,2024-01-07,20대,전자기기,스마트폰,800000
10098,2024-01-08,30대,의류,자켓,120000
10099,2024-01-09,40대,식품,커피,5000
10100,2024-01-01,20대,전자기기,스마트폰,800000
10101,2024-02-01,20대,전자기기,스마트폰,800000
10102,2024-02-02,30대,의류,자켓,120000
10103,2024-02-03,40대,식품,커피,5000
10104,2024-02-04,20대,전자기기,스마트폰,800000
10105,2024-02-05,30대,의류,자켓,120000
10106,2024-02-06,40대,식품,커피,5000
10107,2024-02-07,20대,전자기기,스마트폰,800000
10108,2024-02-08,30대,의류,자켓,120000
10109,2024-02-09,40대,식품,커피,5000
10110,2024-03-01,20대,전자기기,스마트폰,800000
10111,2024-03-02,30대,의류,자켓,120000
10112,2024-03-03,40대,식품,커피,5000
10113,2024-03-04,20대,전자기기,스마트폰,800000
10114,2024-03-05,30대,의류,자켓,120000
10115,2024-03-06,40대,식품,커피,5000
10116,2024-03-07,20대,전자기기,스마트폰,800000
10117,2024-03-08,30대,의류,자켓,120000
10118,2024-03-09,40대,식품,커피,5000
