대화ID,화자A ID,화자A 성별,화자A 연령대,화자B ID,화자B 성별,화자B 연령대,화자C ID,화자C 성별,화자C 연령대,주제,키워드,발화 번호,발화자,발화,신조어
,,,,,,,,,,,,10,B,와우내 레게노다. 안재홍은 외모도 연기도 다 잘하는구나.,레게노;와우내
,,,,,,,,,,,,11,A,"응, 그래! 그래서 시청자들도 주오남이라는 캐릭터에 대한 이질감을 느낄 수 있었대.",
,,,,,,,,,,,,12,B,안재홍은 외모를 왜 자꾸 포기하냐는 질문에 어떻게 대답했어?,
,,,,,,,,,,,,13,A,안재홍은 포기 안 한다고 했어.,
,,,,,,,,,,,,14,B,그래서 마스크걸이 안재홍의 은퇴작이라는 소문이 돌았다는 거지?,
,,,,,,,,,,,,15,A,"응, 그래! 근데 안재홍은 댓글 다 본다고 했어. 시청자들이 좋게 봐줘서 감사하다고도 했어.",
,,,,,,,,,,,,16,B,안재홍은 레알 레게노다. 마스크걸 꼭 봐야겠어!,레게노;레알
021269,0078,여자,20,0110,남자,20,,,,콘텐츠 소비,라이즈,1,A,충공! 와! SM엔터에서 신인 보이그룹 라이즈가 9월에 데뷔한대요!,충공
,,,,,,,,,,,,2,B,짜짜? 라이즈라는 그룹명은 무슨 뜻인가요?,짜짜
,,,,,,,,,,,,3,A,라이즈는 성장하다라는 뜻의 라이즈와 실현하다라는 뜻의 리얼라이즈를 결합한 것이래요.,
,,,,,,,,,,,,4,B,음악 장르는 어떤 스타일일까요?,
,,,,,,,,,,,,5,A,SM엔터는 '이모셔널 팝' 장르로 활동할 거래. 감정을 곡에 담아 표현하는 스타일이래요.,
,,,,,,,,,,,,6,B,그래서 라이즈는 어떤 이미지로 활동할 건가요?,
,,,,,,,,,,,,7,A,라이즈는 각자의 개성과 강점을 지니고 있는 멤버들이 하나의 팀으로 성장하는 이야기를 기반으로 활동할 거래요.,
,,,,,,,,,,,,8,B,에스파 이후로 SM엔터의 신인 그룹 데뷔는 첨인가요?,
,,,,,,,,,,,,9,A,"넹, 에스파 이후 3년 만에 신인 그룹이 데뷔하게 됐어요.",
,,,,,,,,,,,,10,B,라이즈에는 윤상의 아들 이찬영도 속해있대요.,
,,,,,,,,,,,,11,A,렬루다가? 그러면 이찬영은 어떤 역할을 맡을까요?,렬루다가
,,,,,,,,,,,,12,B,아직은 자세한 정보가 없는 것 같아요. 다음달 1일에 공식 인별그램에서 멤버들이 공개될 거래요.,인별그램
,,,,,,,,,,,,13,A,"응, 그럼 기대해볼만 하겠네요!",
,,,,,,,,,,,,14,B,"그래요! 라이즈의 데뷔가 기대되는데, 앞으로 활동을 잘 해나갔으면 좋겠어요.",
,,,,,,,,,,,,15,A,공감 그잡채! 라이즈 멤버들이 같이 성장하고 꿈을 실현하면서 좋은 음악을 선보일 거예요.,그 잡채
,,,,,,,,,,,,16,B,기대돼요! 라이즈 멤버들의 음악과 활동을 응원할게요!,
184287,0000,남자,10,0111,남자,30,,,,콘텐츠 소비,유튜버,1,A,김켈리 선생님 유튜버다!,
,,,,,,,,,,,,2,B,유튜버로 유명한 사람들 많아,
,,,,,,,,,,,,3,A,그래! 김켈리 선생님은 초등교사 출신이야,
,,,,,,,,,,,,4,B,렬루? 그래서 초등교육과 유튜브를 결합한 콘텐츠를 만드는 거구나,렬루
,,,,,,,,,,,,5,A,그래! 그래서 학생들이 즐겁게 공부할 수 있어,
,,,,,,,,,,,,6,B,머박이다! 김켈리 선생님 책도 나왔다던데,머박
,,,,,,,,,,,,7,A,응! 그 책에는 유튜브 활용법도 나와있어,
,,,,,,,,,,,,8,B,충공! 와! 유튜브를 활용하는 방법도 알려주는 거구나,충공
,,,,,,,,,,,,9,A,그래! 유튜브를 통해 자신만의 콘텐츠를 발견하고 키우는 방법도 알려주고 있어,
,,,,,,,,,,,,10,B,진짜 유익하다! 유튜브는 살아가는 데에 큰 도움이 되는 거 같아,
,,,,,,,,,,,,11,A,맞아! 김켈리 선생님을 만나면 공부도 유튜브도 즐겁고 행복해져,
,,,,,,,,,,,,12,B,그렇게 좋은 유튜버를 만나면 레알 행운이야,레알
,,,,,,,,,,,,13,A,그래! 김켈리 선생님의 영상을 보면 학생들의 마음을 잘 읽을 수 있어,
,,,,,,,,,,,,14,B,현직 교사 출신이니까 학생들과 더 잘 맞을 수 있겠구나,
,,,,,,,,,,,,15,A,맞아! 그래서 학생 공감 영상들을 만들 때 학생들이 더 공감할 수 있어,
,,,,,,,,,,,,16,B,교사가 아니어도 학생 공감 콘텐츠로 인기를 얻는 유튜버들도 많아,
043679,0092,여자,30,0116,남자,30,,,,콘텐츠 소비,반지의 제왕,1,A,와 이번에 아마존에서 '반지의 제왕' 티저 공개했대 ㅋㅋ,
,,,,,,,,,,,,2,B,ㄹㅇ? 반지의 제왕이라니 너무 기대되는데 ㅠㅠ,
,,,,,,,,,,,,3,A,그래 그래! 아마존이 60초 광고로 세컨드 에이지를 잘 표현했대,
,,,,,,,,,,,,4,B,"아르다 전역의 멋진 풍경과 엘프, 드워프, 오크가 액션 가득하게 나온다던데 ㅎㅎ",
,,,,,,,,,,,,5,A,맞아 맞아! 그리고 9월 2일에 첫 방송한대!,
,,,,,,,,,,,,6,B,오 무야호! 그러면 1 주에 한 편씩 매주 공개하는 거지?,무야호;무야
,,,,,,,,,,,,7,A,그래! 240여 개 이상의 국가에서 독점 공개한다고 하더라,
,,,,,,,,,,,,8,B,진짜 세계적으로 인기 있는 작품이니까 기대가 크다!,
,,,,,,,,,,,,9,A,맞아 맞아! 그리고 이번 작품은 '중간계의 세컨드 에이지'를 다룬대,
,,,,,,,,,,,,10,B,호빗과 반지의 제왕 이전의 시대를 다룬다는 거지? 흥미로워!,
,,,,,,,,,,,,11,A,맞아 맞아! 그 시대에 악인들이 암흑으로 세계를 물들이려고 하고 영웅들이 싸운대!,
,,,,,,,,,,,,12,B,와 렬루다가 멋진 이야기 같아! 어떤 캐릭터들이 등장하나요?,렬루다가
,,,,,,,,,,,,13,A,"악에 맞서는 영웅들과 왕국들이 나오는데, 캐릭터 포스터도 공개됐어!",
,,,,,,,,,,,,14,B,와 진짜 기대돼! 어떤 장소에서 이야기가 펼쳐지나요?,
,,,,,,,,,,,,15,A,"미스티 산맥, 린돈의 숲, 누메노르 섬 등 다양한 곳에서 이야기가 전개돼!",
,,,,,,,,,,,,16,B,와 짜짜 멋진 배경이네! 이번 작품은 짜짜 기대되는구나!,짜짜
188220,0000,남자,10,0101,남자,20,,,,콘텐츠 소비,SNS,1,A,ㅎㅇ~ 최근에 어떤 슨스 앱을 주로 사용하니?,슨스;ㅎㅇ
,,,,,,,,,,,,2,B,"응, 인별을 자주 사용해! 너는 어떰?",인별
,,,,,,,,,,,,3,A,나는 페북을 주로 사용해. 다른 앱도 써봤는데 잘 안맞아.,페북
,,,,,,,,,,,,4,B,나도 페북은 그렇게 잘 안쓰는 편이야. 인별그램이 더 편하고 꿀잼이야,인별그램;인별;페북;꿀잼
,,,,,,,,,,,,5,A,마좌 인별은 사진과 영상을 올리기도 쉽고 다양한 소통이 가능해서 좋지.,마좌;인별
,,,,,,,,,,,,6,B,맞아 맞아! 그리고 최근에는 유튜브도 자주 보는 편이야.,
,,,,,,,,,,,,7,A,나도 유튜브는 자주 봐. 다양한 콘텐츠들이 있어서 시간 가는 줄 몰라.,
,,,,,,,,,,,,8,B,ㅋㅋ 그래 그래! 유튜브는 중독성이 있지.,
,,,,,,,,,,,,9,A,맞아 중독성이 강해서 하루 종일 볼 수 있어.,
,,,,,,,,,,,,10,B,그래도 가끔은 다른 앱들도 써봐야지. 뭔가 새로운 소통 방식을 경험해보는 거야.,
,,,,,,,,,,,,11,A,맞아 다른 앱들도 써봐야지. 어떤 앱을 추천해줄까?,
,,,,,,,,,,,,12,B,나는 네이버 밴드를 추천해! 다양한 커뮤니티들이 있어서 흥미로워.,
,,,,,,,,,,,,13,A,네이버 밴드? 첨 들어봤어. 다음에 한 번 써봐야겠다.,
,,,,,,,,,,,,14,B,그러면 좋은 추억 만들기 위해 슨스 앱들을 열심히 활용해보자!,슨스
,,,,,,,,,,,,15,A,"응, 그렇게 해야지! 다양한 사람들과 소통하며 즐거운 시간 보내자.",
,,,,,,,,,,,,16,B,ㅋㅋ 그래! 슨스 앱은 우리 삶에 커다란 영향을 끼치고 있으니까!,슨스
012113,0031,여자,30,0117,남자,30,,,,콘텐츠 소비,넷플릭스 마스크걸,1,A,"넷플릭스에 마스크걸이라는 시리즈가 있던데, 어떤 건지 알아?",
,,,,,,,,,,,,2,B,"아, 그거 알아ㅋㅋ. 원래 웹툰으로 시작했다가 넷플릭스에서 드라마로 만든 거야. 외모지상주의랑 사회적 혐오 문제를 다루는 걸로 유명해.",
,,,,,,,,,,,,3,A,"와, 그래? 원작이 웹툰이었구나. 드라마로 나온 마스크걸은 어떤 느낌이야?",
,,,,,,,,,,,,4,B,여러 배우들이 주인공 모미 역할을 연기해서 그런지 각 에피소드마다 다르게 느껴져. 배우들 연기도 완전 폼 미쳤어.ㅋㅋ,폼 미치다
,,,,,,,,,,,,5,A,주인공 모미 역할은 누가 연기했는데?,
,,,,,,,,,,,,6,B,"이한별, 나나, 고현정이 3인 1역을 했어.ㅋㅋ 캐스팅 쩔지?ㅋㅋ",쩔다
,,,,,,,,,,,,7,A,"대박이네ㅋㅋ. 역시 넷플릭스라 캐스팅도 다른 듯ㅋㅋ. 근데 주인공이 마스크를 쓰고 있는 포스터를 봤는데, 왜 쓰게 되는 건지 알아?",
,,,,,,,,,,,,8,B,주인공이 외모 때문에 자신감을 잃어서야. 마스크를 쓰면서 몸매만 강조하는 방식으로 인기를 얻게 돼.,
,,,,,,,,,,,,9,A,"오, 흥미돋이네. 정주행해서 봐야겠다.ㅋㅋ",흥미돋
,,,,,,,,,,,,10,B,정주행하면 더 재미있을 거야. 여러 가지 이슈가 복합적으로 얽혀 있으니까.,
,,,,,,,,,,,,11,A,그럼 주인공 외에도 다른 인물들의 이야기도 나오는 건가?,
,,,,,,,,,,,,12,B,ㅇㅇ. 다중 캐릭터 플롯이라고 해서 주인공 외에도 여러 인물들의 이야기가 나와. 각 에피소드마다 중심 인물이 달라져.,
,,,,,,,,,,,,13,A,"헐, 그럼 볼거리가 진짜 많겠다. 끝까지 봐야 전체 스토리를 알 수 있을 것 같아.ㅋㅋ",
,,,,,,,,,,,,14,B,ㅇㅇ. 끝까지 봐야 전체적인 메시지를 파악할 수 있을 거야.,
,,,,,,,,,,,,15,A,그럼 이번 주말에는 마스크걸 정주행으로 시간 보내야겠다.,
,,,,,,,,,,,,16,B,좋은 선택이야. 정주행하면서 다양한 이슈에 대해 생각해 볼 수 있게 될 거야.ㅋㅋ,
065476,0082,남자,20,0150,여자,20,,,,콘텐츠 소비,콘텐츠,1,A,애니메이션 산업이 대세야,
,,,,,,,,,,,,2,B,그래서 애니메이션 관련 기업들이 많이 생기는 거지?,
,,,,,,,,,,,,3,A,"응, 그래서 전남콘텐츠기업육성센터도 애니듀를 지원한대",
,,,,,,,,,,,,4,B,애니듀가 어떤 애니메이션을 만봤어?,
,,,,,,,,,,,,5,A,애니듀가 '또바또 지구탐험스토리'를 만들었대,
,,,,,,,,,,,,6,B,또바또 지구탐험스토리? 그거 어떤 내용이야?,
,,,,,,,,,,,,7,A,지구를 탐험하는 이야기래. 재미있어 보여,
,,,,,,,,,,,,8,B,나주시에서도 콘텐츠기업육성센터를 개설했대,
,,,,,,,,,,,,9,A,나주시도 애니메이션 산업을 육성하려는 거구나,
,,,,,,,,,,,,10,B,"응, 나주시는 문화원형과 관광 자원을 활용한 융·복합 문화 관광 콘텐츠 산업을 집중적으로 육성하고 있어",
,,,,,,,,,,,,11,A,전남도에서도 콘텐츠 분야 스타트업을 육성하고 있대,
,,,,,,,,,,,,12,B,그래서 콘텐츠 기업들이 조기 정착할 수 있도록 입주기업을 선정하고 공간을 제공하고 임차료도 무상제공한다는 거지?,
,,,,,,,,,,,,13,A,마좌 그래서 콘텐츠 기업들이 더 성장할 수 있을 거야,마좌
,,,,,,,,,,,,14,B,애니메이션 산업이 레알 빠르게 성장하고 있어,레알
,,,,,,,,,,,,15,A,그래서 정부에서도 애니메이션 산업 진흥을 위한 법률을 제정했어,
,,,,,,,,,,,,16,B,애니메이션 산업이 더 발전할 수 있도록 노력해야겠다,
120221,0088,여자,30,0118,남자,30,,,,콘텐츠 소비,베일드 엑스퍼트,1,A,베일드 엑스퍼트 테스트 언제 시작해?,
,,,,,,,,,,,,2,B,3월 30일부터 4월 6일까지야!,
,,,,,,,,,,,,3,A,테스트에 사전신청은 필요 없어?,
,,,,,,,,,,,,4,B,웅웅 스팀이나 넥슨닷컴에서 바로 참여할 수 있어!,
,,,,,,,,,,,,5,A,"크로스 플레이도 가능하다고 하던데, 가맹 PC방에서도 할 수 있어?",
,,,,,,,,,,,,6,B,"응, 설치 없이 손쉽게 즐길 수 있어!",
,,,,,,,,,,,,7,A,신규 콘텐츠나 맵은 어떤 거야?,
,,,,,,,,,,,,8,B,"새로운 모드와 맵을 제공하고, 전략 무기도 새롭게 선보인대!",
,,,,,,,,,,,,9,A,숙련자들을 위한 경쟁전도 있나?,
,,,,,,,,,,,,10,B,"응, 4월 1일부터 오픈돼!",
,,,,,,,,,,,,11,A,개인전도 있는 거지? 언제부터?,
,,,,,,,,,,,,12,B,4월 3일부터 배틀로얄 형식의 쇼다운이 진행돼!,
,,,,,,,,,,,,13,A,테스트 기간에 이벤트도 있나?,
,,,,,,,,,,,,14,B,"응, 테스트 기간 중 접속하면 선물을 준대!",
,,,,,,,,,,,,15,A,베일드 엑스퍼트 기대돼!,
,,,,,,,,,,,,16,B,나도 기대돼!,
112395,0083,남자,20,0147,여자,20,,,,콘텐츠 소비,안선영,1,A,안선영 언제 본거야?,
,,,,,,,,,,,,2,B,지난 주에 본 것 같아 ㅋㅋ,
,,,,,,,,,,,,3,A,진짜 예쁘더라 ㅠㅠ,
,,,,,,,,,,,,4,B,맞아! 그리고 엄청 열심히 일하는 사람이야,
,,,,,,,,,,,,5,A,그래서 회사를 차린 거였구나,
,,,,,,,,,,,,6,B,"응, 안선영은 일 자리를 찾기 위해 사업을 시작했대",
,,,,,,,,,,,,7,A,일을 안 하면 불안함이 늘 있었다고 했지,
,,,,,,,,,,,,8,B,그래서 출산 후에도 바로 복귀했던 거구나,
,,,,,,,,,,,,9,A,마좌 출산 2주 전까지도 일을 했다고 해,마좌
,,,,,,,,,,,,10,B,레알루다가 대단한 사람이야,레알
,,,,,,,,,,,,11,A,그리고 다이어트도 열심히 했대,
,,,,,,,,,,,,12,B,복근이 레알 멋있게 생겼어!,레알
,,,,,,,,,,,,13,A,그래서 뷰티 제품 판매 요청도 많이 받았대,
,,,,,,,,,,,,14,B,안선영은 레알루다가 다재다능한 사람이야,레알
,,,,,,,,,,,,15,A,그렇지! 그리고 홈쇼핑으로 복귀했다고 했어,
,,,,,,,,,,,,16,B,안선영은 레알 멋진 여자야!,레알
221520,0001,남자,20,0147,여자,20,,,,콘텐츠 소비,사내맞선,1,A,오늘 사내맞선 본 사람?,
,,,,,,,,,,,,2,B,나! 시청률 짜짜 높던데ㅋㅋ,짜짜
,,,,,,,,,,,,3,A,그래? 미리보기로 봤는데 웃긴건가?,
,,,,,,,,,,,,4,B,"웃길 때는 확실히 웃기고, 설렐 때는 제대로 설레게 하더라 ㅋㅋ",
,,,,,,,,,,,,5,A,렬루? 그러면 꼭 봐야겠다!,렬루
,,,,,,,,,,,,6,B,마지막에 강태무가 신하리에게 청혼하는데 너무 웃겼어 ㅋㅋ,
,,,,,,,,,,,,7,A,ㄹㅇ? 강태무가 청혼하는 거 봐야겠다ㅋㅋ,ㄹㅇ
,,,,,,,,,,,,8,B,그래! 너무 웃겼다고 다시 한번ㅋㅋ,
,,,,,,,,,,,,9,A,알겠어ㅋㅋ 꼭 볼게!,
,,,,,,,,,,,,10,B,후회 안할 거야! 시청률도 높았으니까!,
,,,,,,,,,,,,11,A,그러면 내일 아침에 볼래!,
,,,,,,,,,,,,12,B,나도 그래! 같이 얘기 나눌 수 있으니까,
,,,,,,,,,,,,13,A,그래! 어떤 장면이 제일 웃길까?,
,,,,,,,,,,,,14,B,아마도 청혼 장면이 제일 웃김ㅋㅋ,
,,,,,,,,,,,,15,A,그러면 그 장면 기대할게ㅋㅋ,
,,,,,,,,,,,,16,B,기대해! 커플들의 로맨틱한 사내맞선이야!,
131558,0095,여자,30,0116,남자,30,,,,콘텐츠 소비,판빙빙,1,A,판빙빙 언제 영화 개봉해?,
,,,,,,,,,,,,2,B,내일 개봉이야! 기대돼 ㅎㅎ,
,,,,,,,,,,,,3,A,예고편 봤는데 재미있어 보여서 꼭 보고 싶어!,
,,,,,,,,,,,,4,B,나도 예고편 봤는데 너무 기대돼서 못 참겠어 ㅠㅠ,
,,,,,,,,,,,,5,A,판빙빙 연기력도 머박이지?,머박
,,,,,,,,,,,,6,B,연기력도 대박이고 미모도 대박이야! 판빙빙 짜짜 최고다 ㅋㅋ,대박;짜짜
,,,,,,,,,,,,7,A,그래서 판빙빙 팬이야?,
,,,,,,,,,,,,8,B,판빙빙 팬이야! 영화도 다 봤고 드라마도 다 봤어 ㅎㅎ,
,,,,,,,,,,,,9,A,판빙빙 인별그램 팔로우했어?,인별그램
,,,,,,,,,,,,10,B,팔로우 했지만 판빙빙은 잘 안 올라와서 아쉬워 ㅠㅠ,
,,,,,,,,,,,,11,A,그래도 판빙빙 사진들은 예쁘더라,
,,,,,,,,,,,,12,B,맞아! 판빙빙 사진들은 항상 예쁘고 멋있어!,
,,,,,,,,,,,,13,A,판빙빙 팬미팅 가본 적 있어?,
,,,,,,,,,,,,14,B,아직 가본 적은 없어. 꼭 가보고 싶은데!,
,,,,,,,,,,,,15,A,나도 가보고 싶어! 같이 가자!,
,,,,,,,,,,,,16,B,그래! 판빙빙 팬미팅에서 만나자 ㅋㅋ,
004742,0031,여자,30,0114,남자,30,,,,콘텐츠 소비,콘크리트 유토피아 300만 돌파,1,A,너 콘크리트 유토피아 봤어? 이번에 관객 300만 돌파했다던데.ㅋㅋ,
,,,,,,,,,,,,2,B,"응, 나 봤어! 엄청 재밌게 봐서 이렇게 흥행할 줄 알았어.ㅋㅋ",
,,,,,,,,,,,,3,A,콘크리트 유토피아 어떤 내용이길래 이렇게 흥행하고 있는 거야?ㅋㅋ,
,,,,,,,,,,,,4,B,대지진으로 서울이 폐허가 된 상황에서 생존자들이 모여드는 황궁 아파트를 배경으로 이야기가 진행되는 영화야.ㅋㅋ,
,,,,,,,,,,,,5,A,"와, 짜짜? 내용 특이하다. 콘크리트 유토피아 영화 자체의 특징은 뭐야?",짜짜
,,,,,,,,,,,,6,B,전 세대를 아우르는 한국적인 소재와 공감대가 특징이라고 할 수 있지. 배우들 연기도 폼 미쳤어ㅋㅋ.,폼 미치다
,,,,,,,,,,,,7,A,이병헌 나온다는 건 알고 있었는데 이번에도 연기 엄청 쩔었나 보네.ㅋㅋ,쩔다
,,,,,,,,,,,,8,B,이병헌 연기는 말모지ㅋㅋ. 어느 역할을 맡아도 제대로 소화하잖아.,말모
,,,,,,,,,,,,9,A,그럼 이 영화의 앞으로 흥행세는 어떻게 될 것 같아?,
,,,,,,,,,,,,10,B,"예매율 1위를 지키고 있어서, 앞으로도 계속 흥행할 것 같아.ㅋㅋ",
,,,,,,,,,,,,11,A,영화 평점이나 리뷰는 어떻게 되고 있어?,
,,,,,,,,,,,,12,B,"대부분 호평이야. 이동진 평론가가 평점 3점 줬고, 롯데시네마 리뷰에서는 ""올해 최고의 영화! 아카데미까지 가보자~""라고 하더라고.",
,,,,,,,,,,,,13,A,혹시 이 영화에서 가장 인상 깊었던 점이 있어?,
,,,,,,,,,,,,14,B,나 개인적으로는 지루할 틈 없이 웃다 긴장했다가 담백한 메시지까지 전달하는 장면이 좋았어.,
,,,,,,,,,,,,15,A,"이 영화의 장르는 뭐야? 드라마인가, 액션인가?",
,,,,,,,,,,,,16,B,"재난 드라마라고 할 수 있어. 액션 요소도 있지만, 더 중요한 건 인간의 본성과 현실감을 녹여낸 것 같아.",
,,,,,,,,,,,,17,A,"관객도 300만 돌파하고, 너도 재밌게 봤다고 하니까 나도 보러 가봐야겠다.ㅋㅋ",
,,,,,,,,,,,,18,B,그래. 스포 안할테니 결말은 꼭 가서 보고 와.ㅋㅋ 너한테도 재밌을 거야.ㅋㅋ,
120852,0088,여자,30,0119,남자,30,,,,콘텐츠 소비,미르의전설2,1,A,미르의전설2 게임 재밌어?,
,,,,,,,,,,,,2,B,응! 그래픽도 좋고 재미있어 ㅋㅋ,
,,,,,,,,,,,,3,A,미르의전설2 20주년이래,
,,,,,,,,,,,,4,B,20주년이라니 레게노다 ㅎㅎ,레게노
,,,,,,,,,,,,5,A,그래서 미르주라는 거 알고 있어?,
,,,,,,,,,,,,6,B,미르주? 첨 들어봤어 ㅠㅠ,
,,,,,,,,,,,,7,A,미르의전설2와 전통주의 협업이래,
,,,,,,,,,,,,8,B,와 머박이네! 어디서 팔아?,머박
,,,,,,,,,,,,9,A,미르24에서 판매하더라,
,,,,,,,,,,,,10,B,미르24? 그러면 온라인으로도 사야겠다!,
,,,,,,,,,,,,11,A,그리고 공식 유튜브에서 미르주 만드는 거 공개했대,
,,,,,,,,,,,,12,B,와 짜짜? 꼭 봐야겠다 ㅋㅋ,짜짜
,,,,,,,,,,,,13,A,미르주는 경기도 용인에서 만들어져,
,,,,,,,,,,,,14,B,용인이라니 멀지 않아서 좋네 ㅎㅎ,
,,,,,,,,,,,,15,A,미르의전설2 출시 20주년 기념이래,
,,,,,,,,,,,,16,B,미르의전설2는 레알 오래됐지만 아직도 인기 많아,레알
142126,0074,남자,20,0145,여자,20,0105,남자,20,콘텐츠 소비,스트릿 우먼 파이터2,1,A,와 이거 봄?,
,,,,,,,,,,,,2,B,뭐 봤어?,
,,,,,,,,,,,,3,C,스트릿 우먼 파이터2!,
,,,,,,,,,,,,4,A,진짜 재밌던데 ㅋㅋ,
,,,,,,,,,,,,5,B,레알? 나도 봐야겠다,레알
,,,,,,,,,,,,6,C,너무 재밌어서 매일 기다려!,
,,,,,,,,,,,,7,A,어떤 캐릭터가 제일 좋아?,
,,,,,,,,,,,,8,B,딥앤댑 멤버들이 제일 좋아!,
,,,,,,,,,,,,9,C,딥앤댑 멤버들 너무 멋있지?,
,,,,,,,,,,,,10,A,그래! 특히 딥앤댑의 배틀 실력은 박박이야,박박
,,,,,,,,,,,,11,B,맞아! 쌍절곤을 사용한 배틀은 진짜 박박이었어,박박
,,,,,,,,,,,,12,C,그리고 리아킴과 미나명의 화해도 감동이었지,
,,,,,,,,,,,,13,A,맞아! 그 장면은 짜짜 마음이 따뜻해지더라,짜짜
,,,,,,,,,,,,14,B,딥앤댑 멤버들이 근황을 전해줬대,
,,,,,,,,,,,,15,C,짜짜? 어떤 근황이야?,짜짜
,,,,,,,,,,,,16,A,아직 끝나지 않았다고 해서 다음 미션을 준비하고 있대,
